Name,L_gp,R_gp,Thick_gp,SFP_Loc,SFP_Len,Thick_sfp,Oxide_Thick,BV,Leakage_2,Cgd_2,Leakage,Cgg,Cgs,Cds,Cgd,Vti
L_4_R_8_Th_2_Nb_2_Th2_Len_4_Loc_325,0.4,0.8,0.2,3.25,0.4,0.2,0.0,103.608,0.7616,94.7,-0.0007616,1.69e-07,-7.43e-08,-3.81e-08,-9.47e-08,-2.827
L_4_R_8_Th_2_Nb_2_Th4_Len_4_Loc_325,0.4,0.8,0.2,3.25,0.4,0.4,0.0,104.298,0.6548,90.6,-0.0006548,1.6e-07,-6.95e-08,-4.16e-08,-9.06e-08,-2.802
L_4_R_6_Th_4_Nb_2_Th2_Len_4_Loc_265,0.4,0.6,0.4,2.65,0.4,0.2,0.0,206.708,1.447,84.0,-0.001447,1.68e-07,-8.37e-08,-3.04e-08,-8.4e-08,-2.844
L_4_R_8_Th_6_Nb_2_Th2_Len_4_Loc_295,0.4,0.8,0.6,2.95,0.4,0.2,0.0,124.148,1.706,96.0,-0.001706,1.77e-07,-8.13e-08,-3.14e-08,-9.6e-08,-2.845
L_4_R_6_Th_6_Nb_1,0.4,0.6,0.6,0.0,0.0,0.0,0.0,260.468,1.655,87.2,-0.001655,1.64e-07,-7.72e-08,2.12e-09,-8.72e-08,-2.845
L_4_R_12_Th_4_Nb_1,0.4,1.2,0.4,0.0,0.0,0.0,0.0,201.748,1.137,120.0,-0.001137,1.98e-07,-7.76e-08,2.5e-09,-1.2e-07,-2.844
L_4_R_6_Th_4_Nb_2_Th4_Len_4_Loc_325,0.4,0.6,0.4,3.25,0.4,0.4,0.0,139.508,1.738,86.9,-0.001738,1.64e-07,-7.73e-08,-3.73e-08,-8.69e-08,-2.844
L_4_R_4_Th_4_Nb_2_Th6_Len_4_Loc_265,0.4,0.4,0.4,2.65,0.4,0.6,0.0,218.548,1.859,74.5,-0.001859,1.55e-07,-8.03e-08,-3.23e-08,-7.45e-08,-2.844
L_4_R_6_Th_4_Nb_2_Th4_Len_4_Loc_265,0.4,0.6,0.4,2.65,0.4,0.4,0.0,204.948,1.595,84.0,-0.001595,1.7e-07,-8.61e-08,-3.05e-08,-8.4e-08,-2.844
L_4_R_6_Th_6_Nb_2_Th2_Len_4_Loc_265,0.4,0.6,0.6,2.65,0.4,0.2,0.0,209.428,1.514,84.2,-0.001514,1.68e-07,-8.39e-08,-3.03e-08,-8.42e-08,-2.845
L_4_R_4_Th_2_Nb_2_Th4_Len_8_Loc_235,0.4,0.4,0.2,2.35,0.8,0.4,0.0,140.948,1.551,68.6,-0.001551,1.55e-07,-8.65e-08,-5.33e-08,-6.86e-08,-2.827
L_4_R_4_Th_2_Nb_2_Th6_Len_8_Loc_235,0.4,0.4,0.2,2.35,0.8,0.6,0.0,130.068,3.119,69.1,-0.003119,1.56e-07,-8.69e-08,-5.29e-08,-6.91e-08,-2.829
L_4_R_6_Th_2_Nb_1,0.4,0.6,0.2,0.0,0.0,0.0,0.0,150.548,1.743,84.2,-0.001743,1.58e-07,-7.36e-08,2.02e-10,-8.42e-08,-2.827
L_4_R_6_Th_2_Nb_2_Th6_Len_4_Loc_265,0.4,0.6,0.2,2.65,0.4,0.6,0.0,138.068,2.759,81.8,-0.002759,1.62e-07,-8.06e-08,-3.25e-08,-8.18e-08,-2.829
L_4_R_6_Th_2_Nb_2_Th4_Len_8_Loc_265,0.4,0.6,0.2,2.65,0.8,0.4,0.0,115.681,1.186,77.2,-0.001186,1.53e-07,-7.55e-08,-5.86e-08,-7.72e-08,-2.802
L_4_R_6_Th_4_Nb_2_Th6_Len_4_Loc_325,0.4,0.6,0.4,3.25,0.4,0.6,0.0,139.828,1.578,86.9,-0.001578,1.64e-07,-7.73e-08,-3.74e-08,-8.69e-08,-2.844
L_4_R_4_Th_4_Nb_2_Th4_Len_4_Loc_265,0.4,0.4,0.4,2.65,0.4,0.4,0.0,218.068,1.856,74.5,-0.001856,1.55e-07,-8.01e-08,-3.24e-08,-7.45e-08,-2.844
L_4_R_6_Th_6_Nb_2_Th4_Len_4_Loc_265,0.4,0.6,0.6,2.65,0.4,0.4,0.0,209.748,1.515,84.1,-0.001515,1.71e-07,-8.71e-08,-3.05e-08,-8.41e-08,-2.845
L_4_R_4_Th_4_Nb_2_Th4_Len_8_Loc_235,0.4,0.4,0.4,2.35,0.8,0.4,0.0,176.148,1.569,71.3,-0.001569,1.66e-07,-9.5e-08,-5.08e-08,-7.13e-08,-2.844
L_4_R_6_Th_6_Nb_2_Th6_Len_4_Loc_265,0.4,0.6,0.6,2.65,0.4,0.6,0.0,209.268,1.515,84.1,-0.001515,1.74e-07,-8.95e-08,-3.05e-08,-8.41e-08,-2.845
L_4_R_4_Th_4_Nb_2_Th6_Len_8_Loc_235,0.4,0.4,0.4,2.35,0.8,0.6,0.0,176.148,1.568,71.3,-0.001568,1.68e-07,-9.68e-08,-5.08e-08,-7.13e-08,-2.844
L_4_R_4_Th_6_Nb_2_Th2_Len_4_Loc_235,0.4,0.4,0.6,2.35,0.4,0.2,0.0,212.788,1.559,71.5,-0.001559,1.62e-07,-9.01e-08,-2.87e-08,-7.15e-08,-2.845
L_4_R_4_Th_6_Nb_2_Th4_Len_4_Loc_235,0.4,0.4,0.6,2.35,0.4,0.4,0.0,214.228,1.559,71.5,-0.001559,1.68e-07,-9.68e-08,-2.88e-08,-7.15e-08,-2.845
L_4_R_4_Th_6_Nb_2_Th6_Len_4_Loc_235,0.4,0.4,0.6,2.35,0.4,0.6,0.0,212.788,1.568,71.5,-0.001568,1.73e-07,-1.02e-07,-2.89e-08,-7.15e-08,-2.845
L_4_R_4_Th_6_Nb_2_Th2_Len_4_Loc_265,0.4,0.4,0.6,2.65,0.4,0.2,0.0,216.948,1.756,74.8,-0.001756,1.54e-07,-7.89e-08,-3.2e-08,-7.48e-08,-2.845
L_4_R_4_Th_6_Nb_2_Th4_Len_4_Loc_265,0.4,0.4,0.6,2.65,0.4,0.4,0.0,215.348,1.766,74.7,-0.001766,1.55e-07,-8.06e-08,-3.22e-08,-7.47e-08,-2.845
L_4_R_4_Th_6_Nb_2_Th6_Len_4_Loc_265,0.4,0.4,0.6,2.65,0.4,0.6,0.0,215.508,1.766,74.6,-0.001766,1.57e-07,-8.19e-08,-3.22e-08,-7.46e-08,-2.845
L_4_R_6_Th_2_Nb_2_Th6_Len_4_Loc_295,0.4,0.6,0.2,2.95,0.4,0.6,0.0,126.708,3.096,83.9,-0.003096,1.59e-07,-7.48e-08,-3.52e-08,-8.39e-08,-2.829
L_4_R_6_Th_4_Nb_2_Th6_Len_4_Loc_265,0.4,0.6,0.4,2.65,0.4,0.6,0.0,206.068,1.447,84.0,-0.001447,1.71e-07,-8.71e-08,-3.05e-08,-8.4e-08,-2.844
L_4_R_4_Th_6_Nb_2_Th2_Len_4_Loc_325,0.4,0.4,0.6,3.25,0.4,0.2,0.0,112.788,2.011,75.9,-0.002011,1.53e-07,-7.71e-08,-3.63e-08,-7.59e-08,-2.845
L_4_R_4_Th_6_Nb_2_Th4_Len_4_Loc_325,0.4,0.4,0.6,3.25,0.4,0.4,0.0,111.988,2.0,76.0,-0.002,1.53e-07,-7.71e-08,-3.73e-08,-7.6e-08,-2.845
L_4_R_4_Th_6_Nb_2_Th2_Len_8_Loc_235,0.4,0.4,0.6,2.35,0.8,0.2,0.0,179.988,1.301,67.0,-0.001301,1.52e-07,-8.5e-08,-5.42e-08,-6.7e-08,-2.818
L_4_R_4_Th_6_Nb_2_Th6_Len_8_Loc_235,0.4,0.4,0.6,2.35,0.8,0.6,0.0,179.508,1.486,71.4,-0.001486,1.73e-07,-1.02e-07,-5.07e-08,-7.14e-08,-2.845
L_4_R_6_Th_2_Nb_2_Th2_Len_4_Loc_265,0.4,0.6,0.2,2.65,0.4,0.2,0.0,155.988,1.243,77.2,-0.001243,1.52e-07,-7.44e-08,-3.5e-08,-7.72e-08,-2.802
L_4_R_6_Th_2_Nb_2_Th2_Len_4_Loc_325,0.4,0.6,0.2,3.25,0.4,0.2,0.0,103.034,1.513,79.9,-0.001513,1.49e-07,-6.91e-08,-4.09e-08,-7.99e-08,-2.802
L_4_R_8_Th_2_Nb_2_Th6_Len_4_Loc_295,0.4,0.8,0.2,2.95,0.4,0.6,0.0,122.228,2.035,93.7,-0.002035,1.72e-07,-7.79e-08,-3.39e-08,-9.37e-08,-2.829
L_4_R_8_Th_4_Nb_1,0.4,0.8,0.4,0.0,0.0,0.0,0.0,219.828,1.569,93.9,-0.001569,1.66e-07,-7.21e-08,-6.98e-10,-9.39e-08,-2.817
L_4_R_6_Th_2_Nb_2_Th4_Len_4_Loc_325,0.4,0.6,0.2,3.25,0.4,0.4,0.0,101.428,1.715,84.1,-0.001715,1.58e-07,-7.38e-08,-3.94e-08,-8.41e-08,-2.827
L_4_R_6_Th_6_Nb_2_Th2_Len_4_Loc_325,0.4,0.6,0.6,3.25,0.4,0.2,0.0,142.148,1.477,87.0,-0.001477,1.64e-07,-7.73e-08,-3.63e-08,-8.7e-08,-2.845
L_4_R_8_Th_6_Nb_2_Th6_Len_4_Loc_295,0.4,0.8,0.6,2.95,0.4,0.6,0.0,125.268,1.693,96.0,-0.001693,1.81e-07,-8.51e-08,-3.17e-08,-9.6e-08,-2.845
L_4_R_6_Th_6_Nb_2_Th4_Len_4_Loc_325,0.4,0.6,0.6,3.25,0.4,0.4,0.0,141.668,1.644,87.0,-0.001644,1.64e-07,-7.74e-08,-3.73e-08,-8.7e-08,-2.845
L_4_R_12_Th_6_Nb_1,0.4,1.2,0.6,0.0,0.0,0.0,0.0,202.708,0.8045,116.0,-0.0008045,1.88e-07,-7.21e-08,-5.63e-10,-1.16e-07,-2.818
L_4_R_6_Th_6_Nb_2_Th6_Len_4_Loc_325,0.4,0.6,0.6,3.25,0.4,0.6,0.0,141.588,1.481,87.0,-0.001481,1.64e-07,-7.74e-08,-3.75e-08,-8.7e-08,-2.845
L_4_R_2_Th_4_Nb_2_Th2_Len_4_Loc_235_Ox_1,0.4,0.2,0.4,2.35,0.4,0.2,0.1,217.588,2.029,64.7,-0.002029,1.46e-07,-8.09e-08,-1.09e-08,-6.47e-08,-2.854
